employee_id,fname,lname,country_loc,port_loc,email,subsidiary,contracted_by,title
277,Erin,Ayala,Germany,Wolgast,e.ayala@Wavez-zing.de,Wavez-zing,MAERSK LINE,Marine Pilot
706,Brian,Eaton,Russia,Zarubino,b.eaton@Spt-septum.ru,Spt-septum,Mediterranean Shipping Company,Longshoreman
121,Paul,Hernandez,France,Villefranche,p.hernandez@Wavez-zing.fr,Wavez-zing,GOLD-STAR-LINE-LTD,Dockworker
660,Melissa,Robinson,Portugal,Vila Real De S Antonio,m.robinson@Freighterzz.pt,Freighterzz,The-Shipping-Corporation-of-India-Ltd,Harbor Master
107,Rhonda,Gonzales,Croatia,Zaliv Rasa,r.gonzales@Wavez-zing.hr,Wavez-zing,NSLI,Port Engineer
840,Patrick,Krueger,Ukraine,Yuzhnyy,p.krueger@Spt-septum.ua,Spt-septum,Yang-Ming-Line Yang Ming Line,Dockworker
220,Lisa,Saunders,Dominican Republic,Santo Domingo,l.saunders@Spt-septum.do,Spt-septum,"Hyundai Merchant Marine Co., Ltd.",Harbor Master
451,Deborah,Bullock,Albania,Vlores,d.bullock@Spt-septum.al,Spt-septum,CROWLEY,Harbor Master
207,Sheila,Roberts,Faroe Islands,Vestmanna,s.roberts@Freighterzz.fo,Freighterzz,GREAT-WHITE-FLEET,Marine Superintendent
125,Brandon,Simpson,Bulgaria,Varna,b.simpson@Freighterzz.bg,Freighterzz,HANJIN-SHIPPING-CO-LTD,Port Engineer
812,Victoria,Henderson,Aruba,Sint Nicolaas Baai,v.henderson@Wavez-zing.aw,Wavez-zing,Hoegh-Autoliners,Marine Superintendent
752,Jessica,Short,Germany,Wolgast,j.short@Wavez-zing.de,Wavez-zing,"Hyundai Merchant Marine Co., Ltd.",Dockworker
802,Courtney,Reyes,Dominican Republic,Santo Domingo,c.reyes@Freighterzz.do,Freighterzz,GREAT-WHITE-FLEET,Stevedore
596,Tina,Brown,Grenada,St George's,t.brown@Freighterzz.gd,Freighterzz,COSCO-Container-Lines,Dockworker
937,Michael,Jones,Russia,Zarubino,m.jones@Spt-septum.ru,Spt-septum,ARKAS CONTAINER TRANSPORT S.A.,Harbor Master
510,Mark,Murray,Turkey,Zonguldak,m.murray@Wavez-zing.tr,Wavez-zing,NSLI,Marine Pilot
61,Brandy,Dennis,Norway,Vardo,b.dennis@Spt-septum.no,Spt-septum,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Stevedore
6,Hannah,Scott,Colombia,Turbo,h.scott@Freighterzz.co,Freighterzz,Trinity-Shipping-Line,Dockworker
79,Emily,Pratt,Albania,Vlores,e.pratt@Spt-septum.al,Spt-septum,Nippon-Yusen-Kabushiki-Kaisha-Line,Dockworker
163,Timothy,Lambert,United States,Brooklyn,t.lambert@Freighterzz.com,Freighterzz,Hafiz-Darya-Shipping-Lines,Dockworker
333,Nathan,Martin,Finland,Veitsiluoto,n.martin@Wavez-zing.fi,Wavez-zing,Nippon-Yusen-Kabushiki-Kaisha-Line,Harbor Master
884,James,Boyer,Turks and Caicos Islands,Providenciales,j.boyer@Spt-septum.tc,Spt-septum,Trinity-Shipping-Line,Dockworker
115,Timothy,Johnson,Turks and Caicos Islands,Providenciales,t.johnson@Wavez-zing.tc,Wavez-zing,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Stevedore
331,Madison,Martinez,Curacao,Willemstad,m.martinez@Wavez-zing.cw,Wavez-zing,ZIM Integrated Shipping Services Ltd,Harbor Master
872,Kevin,Cruz,Poland,Ustka,k.cruz@Freighterzz.pl,Freighterzz,Hapag Lloyd Container Line ,Stevedore
219,James,Thompson,Slovenia,Piran,j.thompson@Freighterzz.si,Freighterzz,COSCO-Container-Lines,Marine Superintendent
852,Jason,Johns,Colombia,Turbo,j.johns@Spt-septum.co,Spt-septum,MAERSK LINE,Dockworker
187,Matthew,Smith,Guernsey,Saint Sampson,m.smith@Wavez-zing.gg,Wavez-zing,ALIANCA,Marine Pilot
153,Amanda,Boyer,Bulgaria,Varna,a.boyer@Wavez-zing.bg,Wavez-zing,West-European-Container-Lines,Harbor Master
985,Patricia,Lawrence,Puerto Rico,San Juan,p.lawrence@Spt-septum.pr,Spt-septum,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Stevedore
44,Kevin,Gonzales,Bulgaria,Varna,k.gonzales@Wavez-zing.bg,Wavez-zing,Hapag Lloyd Container Line ,Port Engineer
734,Felicia,Miller,Denmark,Vordingborg,f.miller@Spt-septum.dk,Spt-septum,GRIMALDI,Port Engineer
743,Christopher,Cervantes,Belgium,Zeebrugge,c.cervantes@Wavez-zing.be,Wavez-zing,MAERSK LINE,Marine Superintendent
830,Elizabeth,Humphrey,United Kingdom,Yarmouth Harbour,e.humphrey@Wavez-zing.uk,Wavez-zing,GREAT-WHITE-FLEET,Stevedore
589,Linda,Potter,Dominican Republic,Santo Domingo,l.potter@Wavez-zing.do,Wavez-zing,TURKON-LINE-INC,Marine Pilot
853,Jose,Maldonado,Bulgaria,Varna,j.maldonado@Wavez-zing.bg,Wavez-zing,"Hyundai Merchant Marine Co., Ltd.",Marine Superintendent
483,Jeffrey,Young,Spain,Villanueva Y Geltru,j.young@Spt-septum.es,Spt-septum,West-European-Container-Lines,Longshoreman
694,Kendra,Graham,Turks and Caicos Islands,Providenciales,k.graham@Freighterzz.tc,Freighterzz,NSLI,Harbor Master
373,Jason,Ramirez,Bulgaria,Varna,j.ramirez@Freighterzz.bg,Freighterzz,West-European-Container-Lines,Longshoreman
378,Nathaniel,Smith,Poland,Ustka,n.smith@Freighterzz.pl,Freighterzz,HYDE-SHIPPING,Harbor Master
164,Gregory,Dorsey,Georgia,Supsa Marine Terminal,g.dorsey@Wavez-zing.ge,Wavez-zing,Orient Overseas Container Line Ltd.,Marine Pilot
688,Teresa,Williams,Germany,Wolgast,t.williams@Freighterzz.de,Freighterzz,GREAT-WHITE-FLEET,Harbor Master
365,William,Walsh,Faroe Islands,Vestmanna,w.walsh@Spt-septum.fo,Spt-septum,"Kawasaki Kisen Kaisha, Ltd.",Marine Pilot
330,Richard,Jackson,Germany,Wolgast,r.jackson@Freighterzz.de,Freighterzz,West-European-Container-Lines,Marine Superintendent
701,Michael,Duncan,Greece,Yithion,m.duncan@Freighterzz.gr,Freighterzz,Hafiz-Darya-Shipping-Lines,Marine Pilot
909,Diana,Lee,Tunisia,Zarzis,d.lee@Wavez-zing.tn,Wavez-zing,MAERSK LINE,Longshoreman
695,Cindy,Hill,Cuba,Vita,c.hill@Spt-septum.cu,Spt-septum,HORIZON-LINES,Stevedore
890,Steven,Webb,Poland,Ustka,s.webb@Wavez-zing.pl,Wavez-zing,Mediterranean Shipping Company,Marine Pilot
855,Paul,Ayala,Caribbean Netherlands,Salina,p.ayala@Wavez-zing.bq,Wavez-zing,TURKON-LINE-INC,Stevedore
186,Lisa,Rogers,Finland,Veitsiluoto,l.rogers@Freighterzz.fi,Freighterzz,NSLI,Port Engineer
727,Michael,Wise,Albania,Vlores,m.wise@Spt-septum.al,Spt-septum,CROWLEY,Marine Pilot
865,Aimee,Gilmore,Portugal,Vila Real De S Antonio,a.gilmore@Wavez-zing.pt,Wavez-zing,GREAT-WHITE-FLEET,Longshoreman
338,James,Gonzalez,Grenada,St George's,j.gonzalez@Freighterzz.gd,Freighterzz,"Kawasaki Kisen Kaisha, Ltd.",Stevedore
527,Robert,White,Antigua and Barbuda,St Johns,r.white@Wavez-zing.ag,Wavez-zing,FAR EASTERN SHIPPING COMPANY,Stevedore
826,Christopher,Hansen,Faroe Islands,Vestmanna,c.hansen@Wavez-zing.fo,Wavez-zing,TURKON-LINE-INC,Dockworker
434,Jordan,Simmons,Bulgaria,Varna,j.simmons@Spt-septum.bg,Spt-septum,CROWLEY,Stevedore
97,James,Thomas,Cuba,Vita,j.thomas@Wavez-zing.cu,Wavez-zing,The-Shipping-Corporation-of-India-Ltd,Dockworker
326,Luke,Hernandez,Estonia,Virtsu,l.hernandez@Freighterzz.ee,Freighterzz,United Arab Shipping Company Co.(S.A.G),Dockworker
416,Jane,Howard,Slovenia,Piran,j.howard@Freighterzz.si,Freighterzz,Hafiz-Darya-Shipping-Lines,Longshoreman
352,Jennifer,Erickson,Norway,Vardo,j.erickson@Freighterzz.no,Freighterzz,NAMSUNG-SHIPPING-CO-LTD,Stevedore
